execute_id,clientes,mensagens,intervalo,tempo_total,total_msgs,vazao,lat_media,lat_min,lat_max,lat_desvio,falhas_send,cenario
chat_perf_20251214_203346_469755,2,20,0.1,2.1041319370269775,40,19.010214757026024,0.0035536348819732665,0.001961946487426758,0.005988359451293945,0.000961049386413253,0,baseline
chat_perf_20251214_203346_469755,5,100,0.05,5.397117614746094,500,92.64204260323913,0.0033537349700927736,0.0011653900146484375,0.01189112663269043,0.001254052197021006,0,principal
chat_perf_20251214_203346_469755,5,120,0.05,6.360317230224609,600,94.33491731336355,0.0024997758865356445,6.151199340820312e-05,0.017890214920043945,0.002094860140893068,0,failover_5c
